price,quantity,type
103.147,95,buy
86.9391,94,sell
88.5047,9,buy
58.4308,44,buy
69.3275,77,buy
76.4091,38,buy
77.556,85,sell
82.714,41,sell
60.2387,45,buy
92.1203,72,buy
107.704,85,sell
78.3871,15,buy
69.0675,28,buy
50.333,8,sell
58.1576,1,buy
56.8624,1,sell
63.2724,92,buy
61.9546,67,sell
69.6743,65,sell
67.4662,72,buy
59.4395,84,sell
64.6244,87,sell
55.9741,5,buy
62.42,70,sell
68.7757,47,buy
55.0484,92,sell
87.1006,17,buy
90.2391,45,buy
100.576,83,sell
109.342,92,buy
109.697,85,sell
109.753,80,sell
106.825,12,sell
69.088,76,buy
87.553,36,sell
90.492,14,sell
50.4256,87,buy
90.4616,3,buy
56.3798,98,sell
52.6578,27,sell
102.797,70,buy
58.6542,15,sell
58.134,29,buy
50.3403,61,buy
73.2184,45,sell
104.378,44,sell
78.1916,68,buy
95.1796,71,sell
63.6834,27,buy
82.7261,34,buy
87.6643,35,buy
76.4484,33,sell
98.8478,77,buy
83.0061,84,buy
97.6489,10,sell
69.6972,51,buy
74.0561,22,buy
62.9521,55,sell
61.0244,37,buy
81.2317,11,buy
56.9031,95,sell
57.5118,25,sell
95.3764,47,buy
74.7943,24,sell
96.1333,67,sell
85.4166,82,sell
54.0374,99,sell
88.7778,1,buy
72.5876,86,buy
60.8404,60,buy
78.0846,82,buy
54.1888,83,buy
83.1498,98,sell
86.5917,94,buy
77.7192,70,sell
99.2811,75,buy
64.4905,68,buy
91.174,85,buy
71.6288,79,sell
100.023,14,sell
54.3755,81,sell
52.453,57,sell
102.484,96,sell
63.9662,21,buy
61.9994,34,buy
82.2786,64,buy
86.9682,25,sell
99.4484,87,sell
94.5271,98,sell
76.2642,5,sell
101.958,93,buy
90.9621,58,buy
95.2142,57,buy
102.294,69,buy
78.1456,49,sell
104.479,54,buy
102.567,25,buy
79.2192,57,buy
55.8893,12,sell
107.058,84,buy
58.5995,30,buy
69.6386,15,sell
88.8034,44,buy
106.555,35,buy
52.2776,89,buy
90.3271,99,buy
96.3293,23,sell
55.8534,27,buy
59.5163,100,sell
87.8459,3,buy
60.178,86,buy
106.18,96,sell
100.524,29,buy
77.6941,34,sell
90.4498,90,buy
95.3049,16,buy
67.483,73,buy
63.0041,81,sell
109.327,99,sell
107.155,88,buy
57.9244,83,sell
105.949,67,buy
80.2049,78,sell
109.947,49,sell
94.1371,50,buy
85.7407,8,sell
92.5695,34,sell
86.5249,80,sell
65.7408,2,buy
63.8523,27,buy
95.8132,66,sell
76.4596,5,sell
74.8567,4,buy
100.028,83,buy
82.3133,59,sell
105.619,10,sell
79.0168,53,buy
50.158,92,sell
87.2011,64,buy
93.1127,20,buy
63.8393,39,buy
67.0604,48,buy
61.4738,15,buy
54.5183,42,buy
82.0231,68,sell
70.3405,5,sell
92.7827,40,sell
88.1395,16,sell
96.4415,16,sell
61.5793,82,sell
61.0339,88,buy
78.2684,94,buy
69.143,21,sell
50.6798,13,buy
95.6222,34,sell
77.9716,68,buy
72.8192,21,buy
66.3774,50,sell
70.1728,69,buy
57.3862,94,sell
100.105,82,sell
61.7197,11,sell
104.162,3,buy
85.1988,60,sell
57.7838,84,buy
65.4126,6,sell
97.9006,22,sell
89.2472,54,buy
57.7695,84,buy
68.5294,56,buy
58.4755,46,sell
109.053,82,buy
95.3342,95,buy
103.507,76,sell
63.8248,61,buy
53.8072,33,sell
63.9474,64,buy
75.6128,7,sell
104.969,77,buy
90.2327,17,buy
109.547,83,sell
67.4072,83,sell
57.3001,73,buy
98.0065,77,sell
86.0218,91,buy
71.2825,65,buy
52.1185,64,buy
69.7691,66,sell
55.2399,41,sell
104.856,76,buy
95.3427,50,buy
91.1076,27,sell
98.2112,11,sell
76.5105,47,sell
62.4554,7,buy
104.338,41,buy
78.1501,81,sell
82.3803,52,sell
76.9458,25,sell
108.402,43,sell
108.256,65,sell
107.292,95,buy
105.769,98,buy
77.2695,9,buy
83.0586,77,buy
89.3912,12,sell
74.36,51,sell
71.422,31,buy
90.4164,72,buy
90.5082,74,buy
92.3137,47,buy
89.5185,37,buy
76.8603,42,sell
96.705,55,sell
52.1718,50,sell
55.1133,94,sell
75.8004,97,buy
107.013,52,buy
67.2749,50,sell
102.403,86,sell
58.3304,95,sell
74.8494,20,buy
52.696,86,sell
105.842,57,sell
61.4923,9,sell
97.5717,47,sell
77.2973,23,buy
99.2784,23,sell
106.412,12,sell
56.3786,35,buy
95.8493,57,buy
96.9802,56,sell
96.1969,71,sell
106.002,58,sell
69.5432,49,buy
71.4159,99,sell
83.5661,61,sell
77.4169,31,sell
55.3671,53,sell
61.2358,37,sell
60.6714,32,buy
71.9767,25,buy
88.7452,48,buy
106.854,73,sell
81.8543,80,buy
89.2985,68,buy
103.538,74,buy
50.0416,37,buy
80.7853,5,sell
63.0642,23,sell
85.7037,14,sell
71.1854,8,buy
86.9101,68,sell
68.449,21,buy
82.016,75,sell
54.326,79,sell
100.312,25,buy
61.9283,14,sell
99.5962,14,buy
84.2287,40,sell
58.3413,82,sell
54.1441,65,buy
87.7465,75,buy
99.2353,33,sell
87.5889,16,sell
94.3663,58,buy
91.5972,44,sell
79.329,85,sell
69.6351,55,sell
92.2907,91,sell
54.157,53,sell
63.3505,39,buy
50.7247,87,buy
83.1136,33,sell
54.3226,75,buy
108.959,21,buy
69.2083,57,buy
61.6962,42,sell
55.8719,40,buy
93.7206,84,sell
88.1737,92,sell
92.5442,70,sell
52.6151,17,buy
79.7584,33,buy
50.9735,8,buy
66.7866,13,sell
102.402,1,buy
105.755,79,sell
51.8897,23,buy
84.7049,13,sell
104.33,31,buy
71.7386,39,buy
77.7704,96,buy
75.3207,61,buy
108.843,25,sell
81.1922,76,buy
77.4204,41,buy
86.7631,98,buy
101.336,47,sell
96.405,21,sell
55.8994,50,buy
83.3581,65,buy
93.8698,17,sell
77.4245,86,buy
63.5614,14,sell
67.2027,16,sell
100.441,62,sell
98.709,45,sell
69.709,27,sell
70.4995,28,buy
73.6681,100,sell
76.321,21,buy
84.1027,92,buy
77.2583,77,buy
77.16,61,buy
96.7654,15,sell
106.392,67,buy
61.8821,47,buy
57.019,22,buy
89.9737,90,sell
53.6655,28,buy
50.9438,71,buy
85.9935,12,sell
84.2457,75,buy
98.0453,5,sell
66.9553,52,sell
76.4662,26,sell
99.75,13,buy
54.382,87,buy
73.5258,7,sell
101.309,39,sell
56.25,50,sell
88.3471,61,sell
63.4514,25,sell
84.8316,99,sell
108.301,83,buy
101.231,58,sell
74.0276,26,sell
64.8737,73,sell
87.9457,82,sell
73.8261,51,sell
74.1677,13,sell
86.9459,24,buy
57.8673,47,buy
105.173,47,buy
55.1134,11,buy
99.102,13,sell
80.4016,32,buy
86.2331,28,sell
56.925,99,buy
94.1319,69,sell
75.3295,86,buy
86.2027,86,sell
56.502,55,sell
88.2922,84,buy
77.701,19,sell
59.074,58,buy
85.2306,88,sell
108.288,52,buy
51.6341,52,sell
101.335,7,sell
103.352,48,buy
65.9891,43,sell
92.4917,78,sell
61.4036,63,buy
107.958,79,buy
83.7637,20,buy
62.6777,5,sell
52.0058,8,sell
67.2136,71,buy
75.8477,35,buy
91.2515,34,buy
98.0381,37,sell
51.5457,73,sell
75.8396,20,sell
74.5407,40,buy
83.7957,6,buy
85.034,88,buy
92.2276,81,buy
67.4707,26,sell
100.479,20,buy
101.55,59,buy
52.4178,8,sell
66.5163,77,sell
81.8447,16,buy
98.4583,52,buy
83.9178,53,sell
58.2868,12,sell
87.6593,14,buy
66.8858,28,buy
51.2827,76,buy
77.6877,42,buy
107.403,24,buy
97.0091,94,buy
50.3218,45,buy
68.4991,24,sell
91.5017,62,sell
64.7549,26,sell
105.375,45,buy
94.4582,28,sell
88.1333,44,sell
96.2085,6,buy
88.9314,81,buy
61.8975,15,sell
53.5843,41,sell
86.3201,28,sell
106.882,27,buy
98.9135,17,sell
95.387,79,sell
52.732,14,buy
80.8613,41,buy
51.9115,83,sell
59.4874,38,sell
87.2622,8,buy
92.1857,88,buy
71.7887,54,sell
63.1303,39,buy
85.6467,75,buy
62.1653,31,sell
56.9357,26,sell
108.338,90,buy
85.7391,88,sell
63.642,56,buy
108.903,41,sell
94.8431,13,buy
93.8873,17,buy
56.425,58,sell
71.3113,89,buy
92.7189,73,sell
69.8973,28,buy
105.764,73,sell
68.9843,100,sell
94.912,74,sell
109.126,82,buy
74.2049,38,buy
93.7597,2,sell
82.0737,18,buy
65.6366,5,sell
55.6392,80,buy
89.4885,27,buy
50.7737,90,sell
81.0949,12,sell
90.9955,69,buy
65.0933,79,buy
64.6189,97,sell
81.3462,57,buy
106.648,86,sell
93.3502,71,buy
53.2606,43,sell
103.817,78,buy
104.019,60,sell
107.244,75,sell
52.2119,98,sell
109.236,44,buy
92.3409,91,sell
92.2934,64,buy
62.8859,20,sell
82.3908,28,sell
108.048,44,sell
101.366,38,sell
99.1206,91,buy
88.6774,99,sell
97.9248,20,sell
67.8971,9,sell
64.4755,10,sell
90.2105,82,sell
105.466,6,buy
50.9392,33,buy
57.0428,70,sell
98.5456,9,sell
62.5737,87,buy
74.2207,11,sell
105.523,43,sell
108.074,50,buy
55.0302,46,sell
69.4045,86,buy
56.2821,45,sell
58.4057,9,sell
84.696,24,buy
89.3748,11,buy
54.2256,77,sell
92.2504,12,buy
104.857,43,buy
52.6858,82,sell
99.3373,63,buy
106.431,46,buy
104.384,77,buy
107.047,82,buy
62.4988,12,buy
65.3646,79,sell
76.4577,97,buy
108.034,67,sell
98.6585,5,buy
64.2575,16,sell
66.6408,35,buy
80.9787,35,buy
64.7871,65,sell
86.0034,6,buy
53.9913,20,sell
90.8418,56,sell
50.3914,60,sell
57.6473,96,buy
54.5111,82,buy
68.3941,16,buy
52.3554,41,buy
102.249,33,sell
70.7554,5,sell
61.938,20,buy
86.679,2,buy
53.1947,59,sell
67.0112,55,sell
98.1619,35,sell
63.4681,58,sell
66.2906,25,buy
104.018,67,buy
102.695,93,sell
103.37,57,buy
67.6827,97,sell
50.7326,10,sell
90.2942,34,buy
106.625,24,sell
62.0271,60,buy
89.625,12,buy
82.4289,57,sell
77.2289,32,buy
62.8573,16,buy
75.4952,82,buy
52.0686,28,sell
57.4622,58,buy
60.6159,47,buy
57.8087,46,buy
77.6133,74,buy
61.6871,56,buy
62.5264,75,buy
79.1134,40,sell
91.0076,86,sell
60.1809,25,sell
75.9327,69,buy
86.1117,94,buy
104.824,94,buy
95.6135,93,buy
86.7413,4,buy
96.6366,37,sell
90.6144,91,buy
100.276,27,buy
107.305,63,sell
98.1906,44,sell
82.9877,96,buy
83.4364,6,buy
86.6593,61,sell
78.9363,50,sell
53.9829,29,buy
105.587,64,sell
95.8052,73,sell
70.6179,17,sell
84.98,97,buy
71.9892,38,buy
94.1096,56,sell
67.3887,66,sell
79.551,65,sell
70.1556,89,sell
77.233,13,sell
85.5482,65,sell
54.0093,31,buy
82.0541,5,buy
60.4764,90,sell
97.4999,60,buy
83.2087,16,buy
60.9594,46,sell
87.2003,27,sell
61.795,27,buy
104.927,72,sell
106.813,71,buy
82.4205,11,sell
54.5947,18,buy
79.5132,97,sell
68.9417,79,sell
107.376,27,buy
78.2756,45,buy
102.186,75,sell
99.9918,91,sell
101.499,16,sell
101.132,34,buy
80.2832,95,sell
58.9911,28,sell
74.0478,53,sell
52.7412,1,buy
53.841,22,buy
60.1903,14,buy
54.5197,78,sell
97.6112,66,buy
83.3706,89,sell
80.4842,7,buy
62.1816,88,sell
91.9364,16,buy
101.408,30,buy
99.7262,65,sell
99.3201,94,buy
99.2475,16,sell
69.4393,22,sell
106.213,66,buy
61.1376,83,buy
90.677,38,buy
89.6788,100,buy
62.0685,75,buy
104.853,57,buy
82.602,23,sell
82.4235,94,buy
71.2885,38,buy
68.7823,6,sell
103.751,97,sell
59.72,3,sell
77.4837,12,buy
68.941,55,sell
107.915,62,buy
81.1005,75,buy
82.673,30,sell
54.6591,79,sell
94.1784,67,sell
59.2897,60,buy
71.435,99,buy
60.4124,53,buy
91.617,50,sell
62.1298,22,sell
67.8506,12,buy
91.2077,60,sell
88.884,71,sell
88.9301,24,buy
101.633,95,buy
88.4245,87,sell
98.4603,81,buy
76.8319,19,buy
58.1351,28,sell
91.1375,3,buy
84.1739,21,buy
79.6077,12,buy
100.181,63,sell
93.262,92,sell
66.7143,1,buy
66.3156,46,buy
79.2366,3,buy
59.1676,83,buy
76.3318,56,sell
85.4307,30,sell
87.5801,26,buy
53.9153,25,sell
52.358,100,buy
51.253,17,sell
63.8425,49,sell
52.278,89,buy
97.1306,42,buy
90.9961,29,sell
67.8457,26,sell
90.7772,36,sell
69.3941,79,sell
77.7916,78,buy
106.868,66,buy
50.9855,95,sell
83.2436,38,sell
91.0226,20,buy
50.3785,1,buy
63.1124,65,buy
76.6751,60,buy
100.101,93,sell
94.5219,8,buy
95.9724,90,buy
78.5391,52,sell
105.177,27,buy
92.7183,67,sell
60.363,27,sell
61.0854,9,buy
65.3531,60,sell
103.174,72,sell
87.3941,35,buy
55.0197,57,buy
85.4666,4,sell
87.7491,65,buy
77.735,79,buy
73.9726,57,buy
97.9522,72,buy
93.4022,58,buy
87.1477,14,sell
81.3777,43,sell
55.2444,49,sell
69.9052,35,sell
71.5831,85,buy
55.6798,36,sell
92.0236,51,buy
85.801,20,sell
94.2463,59,sell
52.2974,22,buy
56.5113,76,sell
80.3253,47,buy
106.312,71,sell
82.351,62,buy
71.2179,88,sell
73.0673,41,buy
84.7121,64,buy
91.6928,28,sell
51.2499,56,sell
105.76,51,sell
82.2178,6,buy
103.387,79,sell
107.511,7,buy
58.9955,27,sell
107.725,29,sell
58.0539,92,buy
102.503,62,buy
85.3496,80,sell
105.708,82,buy
107.172,73,buy
82.0819,63,sell
106.759,57,sell
75.3742,22,sell
83.923,6,buy
93.5939,83,sell
70.7371,91,sell
71.3544,43,buy
53.1508,92,buy
100.561,49,sell
97.2589,78,sell
54.2392,27,buy
73.2815,97,sell
76.58,99,buy
83.1537,69,sell
72.317,68,buy
78.793,86,buy
86.6304,98,buy
96.6829,58,sell
53.6537,16,sell
80.6463,49,buy
66.4261,6,buy
89.9718,42,buy
108.277,18,sell
60.8903,97,buy
74.4842,20,buy
106.862,69,sell
101.77,69,buy
106.14,74,buy
86.4143,49,buy
77.4729,51,buy
84.9201,58,buy
73.9671,28,buy
106.7,42,sell
81.0374,90,sell
107.234,61,sell
70.5002,38,sell
79.9637,22,sell
86.6448,97,buy
105.818,11,sell
89.3035,52,buy
109.512,7,sell
87.3899,65,sell
53.04,86,sell
80.6935,49,sell
88.8784,11,sell
76.8521,63,sell
82.748,13,sell
77.3802,95,sell
107.972,33,buy
64.9125,71,buy
55.3753,66,sell
69.4984,70,sell
108.695,95,sell
57.392,25,buy
109.289,37,buy
107.157,13,buy
56.8319,91,buy
88.7076,97,sell
57.7151,70,sell
84.3857,78,buy
76.1328,97,buy
59.8678,91,buy
54.1613,30,sell
98.7,57,sell
70.1176,23,sell
86.8113,100,sell
64.3419,20,sell
65.5817,27,sell
77.3077,99,buy
107.986,21,buy
93.8808,61,buy
62.7979,8,sell
57.1889,12,sell
93.483,98,buy
75.8822,88,sell
73.4368,2,sell
85.8048,18,buy
109.129,91,sell
56.1748,53,buy
76.1199,39,sell
100.236,24,sell
103.579,50,buy
59.1706,29,buy
51.1881,62,sell
100.786,82,sell
105.525,1,buy
99.8975,4,sell
97.3806,21,buy
58.7593,81,buy
100.148,61,buy
90.4391,58,buy
95.0492,14,sell
105.185,74,buy
69.1309,40,sell
98.1777,94,sell
104.315,36,buy
94.52,44,buy
67.2375,49,sell
81.2712,40,buy
78.7573,51,buy
51.9153,97,sell
61.6284,43,sell
100.526,81,buy
88.2103,4,sell
70.4134,43,buy
59.8865,82,buy
50.2424,8,buy
91.8254,23,sell
97.8564,27,sell
89.3076,33,buy
77.8894,79,sell
76.3833,51,buy
58.6415,48,buy
52.4336,96,buy
67.4178,74,sell
72.4393,49,sell
64.106,11,sell
70.9283,84,sell
89.0927,56,buy
94.3597,4,buy
84.905,95,sell
103.806,84,buy
89.9719,3,buy
56.9696,64,sell
107.102,41,sell
51.6285,77,sell
105.893,57,buy
59.7529,65,buy
94.5023,85,sell
51.6119,69,buy
67.6035,99,buy
70.6194,25,buy
80.2121,2,sell
78.0018,20,sell
53.0561,96,sell
67.6231,60,sell
52.0225,25,sell
104.05,64,sell
88.245,12,buy
61.382,1,buy
92.073,46,sell
99.887,10,sell
97.3832,3,buy
105.859,71,buy
74.3246,56,sell
105.29,10,sell
62.3509,15,sell
61.6557,97,sell
94.9093,43,buy
105.985,82,buy
109.098,76,buy
83.4986,92,sell
80.8197,75,sell
104.603,88,sell
69.4542,57,buy
51.8546,37,buy
99.3405,38,buy
98.8301,22,buy
89.6626,88,sell
74.9387,12,sell
77.0683,54,buy
59.266,64,buy
97.862,84,sell
83.3811,87,buy
81.5098,84,buy
106.697,53,sell
102.648,65,buy
74.6695,51,sell
93.4389,89,buy
92.9758,8,buy
94.3463,83,sell
71.492,32,sell
73.0483,92,buy
50.6612,31,sell
78.0389,51,sell
56.39,43,buy
66.2325,59,buy
92.9704,6,sell
88.6097,24,buy
66.6663,81,sell
106.167,95,buy
95.9898,95,sell
62.5764,40,sell
97.1243,67,sell
100.319,61,buy
103.273,29,sell
99.3446,20,buy
106.049,85,sell
94.5144,19,buy
106.923,29,sell
54.1075,56,buy
82.9,40,buy
81.6286,92,sell
81.603,14,buy
69.6135,73,sell
51.0023,11,buy
59.2247,88,buy
104.114,12,buy
68.6431,14,sell
72.134,80,sell
61.5269,12,sell
75.3225,68,sell
83.7977,76,buy
68.5304,82,sell
87.2335,24,sell
78.1236,48,buy
71.7319,42,sell
71.629,100,buy
52.9642,76,buy
96.4305,81,buy
84.6307,75,sell
72.5946,19,buy
104.162,6,buy
81.8652,100,sell
91.5013,42,buy
103.936,61,buy
70.2577,92,buy
76.4509,79,sell
92.4085,60,sell
61.7613,22,buy
71.3422,23,sell
69.0558,8,buy
65.733,65,buy
67.9088,19,sell
57.0206,99,sell
64.4655,41,buy
107.579,46,sell
99.1629,39,buy
69.3685,6,sell
63.7025,54,buy
50.0245,34,buy
70.3829,54,sell
99.2391,93,buy
53.5389,51,buy
63.4755,89,sell
91.8924,42,buy
53.0225,83,sell
87.6494,77,sell
51.8604,48,buy
58.8154,63,sell
64.6249,67,sell
76.9651,83,sell
102.106,87,buy
105.313,17,sell
59.473,63,buy
63.2958,97,buy
103.146,42,buy
60.1666,14,buy
75.6844,44,buy
97.5484,28,sell
64.5283,13,sell
75.967,14,buy
72.1076,97,buy
63.529,46,buy
83.5354,4,buy
75.6227,16,sell
68.2105,16,buy
62.3904,91,buy
105.498,90,sell
50.0788,45,sell
55.662,71,sell
109.482,7,sell
104.985,54,buy
79.9195,42,sell
106.513,63,buy
97.8197,76,sell
57.5507,65,buy
61.4592,68,buy
85.0281,45,buy
91.5679,96,buy
74.9226,10,buy
90.4048,80,sell
83.1459,61,sell
50.32,57,sell
70.8999,32,sell
58.4692,73,sell
58.3281,54,sell
70.0972,97,sell
83.3579,78,sell
101.672,98,buy
71.5989,14,sell
73.4937,32,buy
78.7942,92,buy
94.8152,95,sell
74.0232,31,buy
68.721,64,buy
97.9765,57,buy
60.4493,89,buy
86.8756,15,sell
79.4825,88,buy
84.5872,69,buy
64.1797,51,sell
73.0319,15,sell
92.38,13,sell
67.8879,87,buy
104.104,20,sell
83.9604,51,sell
58.1948,71,sell
109.943,85,sell
51.9785,10,buy
94.2362,22,buy
90.7143,25,sell
79.6679,75,sell
94.9753,14,buy
86.395,87,buy
79.2808,49,sell
71.684,54,sell
83.6255,98,buy
93.7435,91,sell
83.4539,97,buy
74.1799,47,sell
72.755,18,buy
83.8335,94,sell
77.4132,61,buy
69.5306,67,buy
76.0304,77,sell
88.4746,8,buy
82.1576,82,sell
60.7293,49,buy
82.7353,3,sell
60.3271,35,buy
56.7016,69,sell
105.996,79,sell
81.3852,44,sell
98.3711,40,sell
77.4961,96,sell
84.8594,65,buy
83.104,97,sell
52.9592,19,buy
78.0974,17,buy
92.5523,52,sell
66.9628,83,sell
84.7096,11,sell
60.7261,56,sell
71.3051,69,buy
86.5082,43,buy
66.7724,11,buy
62.2077,8,sell
71.9176,12,sell
50.7441,18,buy
91.6058,87,buy
102.116,33,buy
86.1353,76,sell
63.4971,87,buy
82.9746,40,sell
87.0061,52,sell
50.2644,74,sell
75.9025,43,sell
87.0309,59,buy
86.1737,83,sell
55.3212,46,buy
89.1522,80,buy
83.8807,41,sell
51.7023,74,sell
94.123,53,sell
53.3977,57,sell
76.482,40,sell
83.348,32,sell
90.4901,79,buy
57.7157,88,sell
105.432,58,sell
88.4792,13,buy
72.8018,29,sell
107.875,60,buy
51.1734,23,buy
52.2686,55,buy
81.6645,57,buy
98.8445,5,buy
94.1546,78,sell
87.7749,79,sell
62.7039,49,buy
80.7129,69,sell
103.313,79,buy
92.2367,82,sell
92.8864,70,buy
88.4155,78,sell
89.8434,84,sell
58.754,6,buy
50.2911,76,sell
58.2057,62,sell
58.6273,27,buy
99.4773,24,buy
89.088,32,buy
108.955,86,buy
89.895,25,sell
107.909,54,sell
104.829,96,buy
72.2431,16,sell
67.1966,26,buy
66.6832,77,buy
101.234,23,buy
96.9861,7,buy
65.0363,87,buy
75.372,97,buy
103.651,34,buy
75.8902,16,buy
89.306,87,buy
53.4258,17,sell
73.0581,43,buy
108.867,30,buy
79.0806,34,buy
103.432,75,sell
53.829,3,sell
70.0888,56,sell
85.9307,94,sell
107.748,36,sell
102.344,14,sell
57.125,20,sell
55.1176,59,buy
84.9665,6,sell
51.1024,6,sell
102.754,43,sell
70.5641,24,buy
69.2191,9,buy
69.7644,15,buy
87.6777,23,sell
83.114,27,buy
86.7909,76,buy
73.123,4,buy
67.7945,27,buy
74.3074,49,sell
87.0618,18,buy
75.1596,80,sell
52.0323,88,sell
68.6753,89,buy
82.5485,41,sell
72.2152,54,sell
98.3197,93,buy
89.2078,6,buy
72.9787,50,sell
70.714,36,buy
57.1945,76,buy
79.5682,40,sell
70.4388,4,buy
98.3648,35,sell
84.0697,63,sell
72.0447,74,buy
89.5322,75,sell
104.674,10,buy
101.093,55,sell
83.5662,51,buy
52.1984,32,sell
53.6705,83,buy
64.1296,27,sell
85.8284,50,buy
108.026,37,sell
82.5689,8,buy
77.173,49,sell
87.9277,93,buy
80.5423,98,buy
64.414,47,sell
79.7646,95,sell
55.2136,60,sell
51.1715,28,buy
66.532,45,buy
61.7575,46,sell
108.981,70,buy
81.376,50,sell
84.6061,76,sell
58.327,73,buy
95.7537,42,buy
79.3074,26,buy
100.461,22,sell
71.8258,45,sell
81.3067,77,sell
86.3816,45,sell
84.0436,44,sell
94.4608,5,sell
79.1468,34,sell
64.1694,89,buy
66.7905,6,sell
73.3425,77,buy
103.56,48,buy
106.239,72,sell
86.2359,39,buy
103.096,51,buy
80.0169,8,sell
98.1194,71,buy
100.471,57,buy
105.329,64,buy
58.6646,45,sell
88.3362,91,buy
107.684,25,buy
87.2532,4,sell
89.5864,68,sell
76.825,13,sell
52.2532,81,sell
52.2655,76,sell
81.458,32,buy
81.1473,3,sell
78.5545,82,buy
64.3749,42,sell
59.9249,56,buy
81.5092,66,sell
108.114,15,buy
98.5795,30,buy
94.6669,35,sell
86.6805,22,sell
53.289,64,buy
70.0159,3,buy
70.4202,8,buy
79.738,88,buy
99.9323,55,buy
74.5527,61,buy
75.8317,36,buy
83.655,60,sell
77.2111,46,sell
94.1231,95,buy
72.067,38,buy
95.9918,10,buy
85.0002,57,buy
99.609,19,sell
86.7724,45,sell
64.1139,47,sell
95.9084,40,sell
96.5472,41,sell
72.3172,23,buy
52.9785,68,buy
83.4431,85,buy
69.1958,10,sell
51.6404,50,sell
104.281,16,sell
99.0981,60,buy
83.4988,58,buy
60.9475,13,buy
97.6202,34,buy
78.9183,11,buy
57.7284,58,sell
100.219,30,buy
88.7253,52,sell
87.8837,14,buy
55.2321,51,buy
90.9032,62,buy
102.036,46,buy
107.617,78,buy
76.5254,98,sell
80.3597,45,sell
101.353,87,buy
104.345,26,buy
72.4924,7,sell
60.6421,57,sell
94.4222,38,sell
105.633,24,buy
58.398,48,sell
105.768,81,sell
59.3599,74,buy
69.9349,71,sell
69.8977,60,buy
98.0473,52,sell
52.4566,45,sell
67.7281,13,buy
52.7021,63,buy
106.323,22,buy
76.1857,33,sell
109.564,86,sell
70.2271,17,buy
73.5956,83,sell
88.7081,29,buy
107.965,76,sell
103.342,25,sell
94.8126,24,buy
109.757,64,buy
97.9937,82,buy
67.3263,5,sell
87.6507,100,sell
102.179,12,buy
54.591,57,sell
53.1762,34,buy
71.9989,76,sell
54.1641,92,buy
68.157,59,sell
78.5647,56,buy
67.1082,90,buy
69.8771,64,buy
58.0008,18,sell
85.5037,41,sell
83.1045,52,sell
